,model_length,not_condensed_reasoning_t,condensed_reasoning_t
0,858,71.26971793174744,69.365731716156
1,1715,76.001540184021,49.66095304489136
2,2572,80.67961192131042,50.82190704345703
3,3429,84.50779581069946,50.48859906196594
4,4286,87.49175000190735,49.166393995285034
5,5143,90.48092913627625,49.294471979141235
6,6000,95.38554787635803,49.45787286758423
7,6857,98.35263800621033,49.09547805786133
8,7714,100.63820815086365,49.138248920440674
9,8571,109.68777084350586,49.093839168548584
10,9428,109.47871422767639,51.191490173339844
11,10285,112.21642398834229,50.57237792015076
12,11142,118.73491215705872,50.692636013031006
13,11999,119.9811429977417,49.38353896141052
14,12856,120.54032111167908,49.133010387420654
15,13713,125.71231889724731,49.1370108127594
16,14570,127.94932889938354,50.1212739944458
17,15427,133.6773829460144,49.467970848083496
18,16284,135.5581169128418,48.85063195228577
19,17141,140.023827791214,50.470752000808716
